PRINT-SPACINGS

/data/ryle/CYGNUSX1-990913/s15


 CYGNUSX1-990913  centred on  CYGNUS-X1                                         
 Merge of all spacings from AE 1-5/1-5                                          
 Samples From:    1   ST: 17.40.08   UT: 18.10   LSF buffer:    1               
           To: 1788   ST: 21.59.44   UT: 22.29   LSF buffer: 1788               

 Modified Julian date 51434.00  at 0h on 13 Sep 99

      ST         UT        cos            sin            amp        phase
18.20.16   18.50.58   -0.19857E-02    0.79755E-02    0.82190E-02    104.0
18.20.24   18.51.06    0.16856E-01    0.13592E-01    0.21653E-01     38.9
18.20.32   18.51.14    0.17014E-01   -0.11103E-01    0.20316E-01    -33.1
18.20.40   18.51.22   -0.38059E-02   -0.54646E-02    0.66594E-02   -124.9
18.20.48   18.51.30    0.25735E-02    0.12333E-01    0.12598E-01     78.2
18.20.56   18.51.38    0.20303E-01    0.10440E-01    0.22830E-01     27.2
18.21.04   18.51.46    0.12628E-01   -0.63190E-02    0.14121E-01    -26.6
18.21.12   18.51.54   -0.81902E-02    0.17399E-02    0.83729E-02    168.0
18.21.20   18.52.02    0.15515E-01   -0.12807E-01    0.20118E-01    -39.5
18.21.28   18.52.10    0.22584E-01    0.77513E-02    0.23877E-01     18.9
18.21.36   18.52.18   -0.79862E-02    0.21574E-01    0.23005E-01    110.3
18.21.44   18.52.26    0.20789E-01   -0.24252E-01    0.31943E-01    -49.4
18.21.52   18.52.34    0.16042E-01    0.21849E-01    0.27106E-01     53.7
18.22.00   18.52.42    0.57504E-02   -0.32536E-02    0.66071E-02    -29.5
18.22.08   18.52.50   -0.12813E-01    0.12498E-02    0.12873E-01    174.4
18.22.16   18.52.58    0.15905E-02    0.59582E-02    0.61668E-02     75.1
18.22.24   18.53.06    0.16974E-01    0.15367E-01    0.22897E-01     42.2
18.22.32   18.53.14    0.14650E-01   -0.57032E-02    0.15721E-01    -21.3
18.22.40   18.53.22    0.54514E-02    0.17737E-01    0.18556E-01     72.9
18.22.48   18.53.30    0.14101E-01   -0.24993E-02    0.14321E-01    -10.1
18.22.56   18.53.38    0.83925E-02   -0.48447E-02    0.96905E-02    -30.0
18.23.04   18.53.45    0.64380E-02    0.96852E-02    0.11630E-01     56.4
18.23.12   18.53.53   -0.42492E-02    0.91257E-02    0.10066E-01    115.0
18.23.20   18.54.01    0.16404E-01   -0.13355E-01    0.21153E-01    -39.1
18.23.28   18.54.09    0.88287E-02   -0.23689E-01    0.25281E-01    -69.6
